N Np Nc Runtime
100 2 1 37.072527
100 2 1 36.701159
100 2 1 36.620468
100 4 1 37.199279
100 4 1 36.016053
100 4 1 36.174181
100 4 1 37.786299
100 4 1 36.163581
100 4 1 36.668576
100 4 1 36.781751
100 4 1 36.592293
100 4 1 36.098978
100 4 1 36.910842
100 8 1 36.691597
100 8 1 37.014492
100 8 1 37.621061
100 8 1 36.719918
100 8 1 36.750142
100 8 1 35.980035
100 8 1 36.105674
100 8 1 37.032894
100 8 1 36.701996
100 8 1 36.216016
1000 1 1 37.079553
1000 1 1 36.583500
1000 1 1 36.518522
1000 1 1 36.244237
1000 1 1 36.671738
1000 1 1 37.629909
1000 1 1 36.570386
1000 1 1 35.675952
1000 1 1 36.141655
1000 1 1 36.538836
1000 1 2 36.845656
1000 1 2 35.120736
1000 1 2 36.097994
1000 1 2 35.906970
1000 1 2 36.354612
1000 1 2 36.626924
1000 1 2 35.721945
1000 1 2 35.641372
1000 1 2 36.178871
1000 1 2 35.619739
1000 1 4 38.994319
1000 1 4 37.944545
1000 1 4 37.476342
1000 1 4 37.972744
1000 1 4 36.726230
1000 1 4 36.668582
1000 1 4 36.592350
1000 1 4 37.370129
1000 1 4 36.575416
1000 1 4 38.727634
1000 1 8 37.803402
1000 1 8 39.177766
1000 1 8 40.265046
